,Name,Party,Color,MP,Twitter_id,Følgere,y,Tweet Count
0,Niels Flemming Hansen,Det Konservative Folkeparti (KF),Blue,Medlem af Folketinget,@NielsFlemming01,648,1,29
1,Rasmus Jarlov,Det Konservative Folkeparti (KF),Blue,Medlem af Folketinget,@RasmusJarlov,21.248,1,470
2,Mona Juul,Det Konservative Folkeparti (KF),Blue,Medlem af Folketinget,@JuulMona,4.170,1,387
3,Brigitte Klintskov Jerkel,Det Konservative Folkeparti (KF),Blue,Medlem af Folketinget,@JerkelK,1.912,1,642
4,Marcus Knuth,Det Konservative Folkeparti (KF),Blue,Medlem af Folketinget,@MarcusKnuth1,1.502,1,46
5,Per Larsen,Det Konservative Folkeparti (KF),Blue,Medlem af Folketinget,@PerLarsenC,1.410,1,184
6,Mai Mercado,Det Konservative Folkeparti (KF),Blue,Medlem af Folketinget,@_MaiMercado,14.353,1,835
7,Søren Pape Poulsen,Det Konservative Folkeparti (KF),Blue,Medlem af Folketinget,@SorenPape,61.615,1,1231
8,Lars Boje Mathiesen,Nye Borgerlige (NB),Blue,Medlem af Folketinget,@LBMathiesen,4.644,1,490
9,Peter Seier Christensen,Nye Borgerlige (NB),Blue,Medlem af Folketinget,@peter_seier,1.285,1,120
10,Mette Thiesen,Nye Borgerlige (NB),Blue,Medlem af Folketinget,@ThiesenMette,4.016,1,379
11,Pernille Vermund,Nye Borgerlige (NB),Blue,Medlem af Folketinget,@PernilleVermund,16.282,1,2016
12,Henrik Dahl,Liberal Alliance (LA),Blue,Medlem af Folketinget,@SociologenHD,8.050,1,1205
13,Ole Birk Olesen,Liberal Alliance (LA),Blue,Medlem af Folketinget,@olebirkolesen,12.526,1,424
14,Alex Vanopslagh,Liberal Alliance (LA),Blue,Medlem af Folketinget,@AlexVanopslagh,16.964,1,711
15,Torsten Gejl,Alternativet (ALT),Red,Medlem af Folketinget,@TorstenGejl,4.527,0,731
16,Jens Rohde,Kristendemokraterne (KD),Blue,Medlem af Folketinget,@rohde_jens,12.774,1,608
17,Simon Emil Ammitzbøll-Bille,Uden for folketingsgrupperne (UFG),Blue,Medlem af Folketinget,@ammitzbollbille,38.392,1,499
18,Uffe Elbæk,Uden for folketingsgrupperne (UFG),Red,Medlem af Folketinget,@uffeelbaek,None,0,514
19,Lars Løkke Rasmussen,Uden for folketingsgrupperne (UFG),Blue,Medlem af Folketinget,@larsloekke,198.345,1,1226
20,Sikandar Siddique,Uden for folketingsgrupperne (UFG),Red,Medlem af Folketinget,@SikandaSIDDIQUE,4.494,0,1333
21,Susanne Zimmer,Uden for folketingsgrupperne (UFG),Red,Medlem af Folketinget,@Susanne_Zimmer_,1.570,0,1102
22,Orla Østerby,Uden for folketingsgrupperne (UFG),Blue,Medlem af Folketinget,@orlaosterby,596,1,51
