,Party,AddressLink,Members
0,Socialdemokratiet (S),/searchResults.aspx?sortedDescending=false&party=3cfdab2c-71af-43d1-a120-0fc5966310b3,49
1,Venstre (V),/searchResults.aspx?sortedDescending=false&party=96e9ae97-217a-4adc-9a6b-c3b5f8e09b18,39
2,Dansk Folkeparti (DF),/searchResults.aspx?sortedDescending=false&party=4c964872-b486-4849-9816-442b44db62f3,16
3,Socialistisk Folkeparti (SF),/searchResults.aspx?sortedDescending=false&party=f5870153-3121-4dd6-b2a7-b7b3fd351ceb,15
4,Radikale Venstre (RV),/searchResults.aspx?sortedDescending=false&party=9d36d151-a421-4182-8ef3-fcc2b32e63ad,14
5,Enhedslisten (EL),/searchResults.aspx?sortedDescending=false&party=98022092-77ca-4876-9d96-7885ab5d194b,13
6,Det Konservative Folkeparti (KF),/searchResults.aspx?sortedDescending=false&party=7eb27cbd-931b-4a12-8211-f3cb166c4702,13
7,Nye Borgerlige (NB),/searchResults.aspx?sortedDescending=false&party=31301350-3647-4012-af1e-59fd6796145e,4
8,Liberal Alliance (LA),/searchResults.aspx?sortedDescending=false&party=28f24ef3-5fb1-42d4-8797-6e306bf56888,3
9,Alternativet (ALT),/searchResults.aspx?sortedDescending=false&party=a302a5dd-15dc-4f87-990c-370f00bbe6b3,1
10,Kristendemokraterne (KD),/searchResults.aspx?sortedDescending=false&party=7ed9c98e-6b03-4641-ba11-fa0853f8dba1,1
11,Inuit Ataqatigiit (IA),/searchResults.aspx?sortedDescending=false&party=c3ecae71-1dcc-4b34-9a17-e0a9d4e88c0b,1
12,Siumut (SIU),/searchResults.aspx?sortedDescending=false&party=1a99756e-6dc4-4f94-941d-8842470cb664,1
13,Sambandsflokkurin (SP),/searchResults.aspx?sortedDescending=false&party=d5bfcece-6230-405f-b1a8-7f4040d3ffe9,1
14,Javnaðarflokkurin (JF),/searchResults.aspx?sortedDescending=false&party=ca337d8d-3fc6-44f9-bdc4-bbe0234ed9be,1
15,Uden for folketingsgrupperne (UFG),/searchResults.aspx?sortedDescending=false&party=1626e331-893b-4130-894a-e0f1726ba5fb,7
